QueryID   Rank    DOCID         Score    Rel/Non-Rel   Precision     Recall      System
        1       1    CACM-1410   22.05              1         1.0      0.2    BM25              
        1       2    CACM-2319   20.94              0         0.5      0.2    BM25              
        1       3    CACM-1519   20.12              0       0.333      0.2    BM25              
        1       4    CACM-2379   19.92              0        0.25      0.2    BM25              
        1       5    CACM-1506   18.50              0         0.2      0.2    BM25              
        1       6    CACM-1161   18.25              0       0.166      0.2    BM25              
        1       7    CACM-2632   17.80              0       0.142      0.2    BM25              
        1       8    CACM-1168   17.57              0       0.125      0.2    BM25              
        1       9    CACM-1605   16.89              1       0.222      0.4    BM25              
        1      10    CACM-3069   16.83              0         0.2      0.4    BM25              
        1      11    CACM-1523   16.77              0       0.181      0.4    BM25              
        1      12    CACM-3048   16.70              0       0.166      0.4    BM25              
        1      13    CACM-1750   16.45              0       0.153      0.4    BM25              
        1      14    CACM-3025   16.44              0       0.142      0.4    BM25              
        1      15    CACM-1591   16.43              0       0.133      0.4    BM25              
        1      16    CACM-1698   16.39              0       0.125      0.4    BM25              
        1      17    CACM-1464   16.10              0       0.117      0.4    BM25              
        1      18    CACM-3127   15.65              0       0.111      0.4    BM25              
        1      19    CACM-2380   15.49              0       0.105      0.4    BM25              
        1      20    CACM-2358   15.33              1        0.15      0.6    BM25              
        1      21    CACM-2357   15.30              0       0.142      0.6    BM25              
        1      22    CACM-2054   15.29              0       0.136      0.6    BM25              
        1      23    CACM-2950   15.25              0       0.130      0.6    BM25              
        1      24    CACM-1749   15.19              0       0.125      0.6    BM25              
        1      25    CACM-2740   15.14              0        0.12      0.6    BM25              
        1      26    CACM-1938   14.97              0       0.115      0.6    BM25              
        1      27    CACM-1462   14.97              0       0.111      0.6    BM25              
        1      28    CACM-1680   14.94              0       0.107      0.6    BM25              
        1      29    CACM-0414   14.88              0       0.103      0.6    BM25              
        1      30    CACM-1753   14.64              0         0.1      0.6    BM25              
        1      31    CACM-1544   14.56              0       0.096      0.6    BM25              
        1      32    CACM-0585   14.49              0       0.093      0.6    BM25              
        1      33    CACM-2629   14.44              0       0.090      0.6    BM25              
        1      34    CACM-2946   14.41              0       0.088      0.6    BM25              
        1      35    CACM-1033   14.20              0       0.085      0.6    BM25              
        1      36    CACM-1393   14.14              0       0.083      0.6    BM25              
        1      37    CACM-3011   13.90              0       0.081      0.6    BM25              
        1      38    CACM-1805   13.82              0       0.078      0.6    BM25              
        1      39    CACM-1225   13.57              0       0.076      0.6    BM25              
        1      40    CACM-1844   13.56              0       0.075      0.6    BM25              
        1      41    CACM-0397   13.55              0       0.073      0.6    BM25              
        1      42    CACM-1046   13.49              0       0.071      0.6    BM25              
        1      43    CACM-2317   13.45              0       0.069      0.6    BM25              
        1      44    CACM-2372   13.45              0       0.068      0.6    BM25              
        1      45    CACM-2541   13.37              0       0.066      0.6    BM25              
        1      46    CACM-2621   13.29              0       0.065      0.6    BM25              
        1      47    CACM-0698   13.28              0       0.063      0.6    BM25              
        1      48    CACM-1827   13.27              0       0.062      0.6    BM25              
        1      49    CACM-1685   13.25              0       0.061      0.6    BM25              
        1      50    CACM-1542   13.24              0        0.06      0.6    BM25              
        1      51    CACM-1179   13.20              0       0.058      0.6    BM25              
        1      52    CACM-2424   13.20              0       0.057      0.6    BM25              
        1      53    CACM-1264   13.14              0       0.056      0.6    BM25              
        1      54    CACM-1647   13.03              0       0.055      0.6    BM25              
        1      55    CACM-2624   12.91              0       0.054      0.6    BM25              
        1      56    CACM-2312   12.85              0       0.053      0.6    BM25              
        1      57    CACM-2080   12.73              0       0.052      0.6    BM25              
        1      58    CACM-2917   12.68              0       0.051      0.6    BM25              
        1      59    CACM-2764   12.62              0       0.050      0.6    BM25              
        1      60    CACM-2371   12.62              0        0.05      0.6    BM25              
        1      61    CACM-1747   12.56              0       0.049      0.6    BM25              
        1      62    CACM-2796   12.54              0       0.048      0.6    BM25              
        1      63    CACM-2947   12.51              0       0.047      0.6    BM25              
        1      64    CACM-3065   12.50              0       0.046      0.6    BM25              
        1      65    CACM-1226   12.46              0       0.046      0.6    BM25              
        1      66    CACM-3068   12.44              0       0.045      0.6    BM25              
        1      67    CACM-1304   12.32              0       0.044      0.6    BM25              
        1      68    CACM-1408   12.30              0       0.044      0.6    BM25              
        1      69    CACM-1697   12.26              0       0.043      0.6    BM25              
        1      70    CACM-1315   12.03              0       0.042      0.6    BM25              
        1      71    CACM-0637   12.00              0       0.042      0.6    BM25              
        1      72    CACM-2535   11.99              0       0.041      0.6    BM25              
        1      73    CACM-2219   11.94              0       0.041      0.6    BM25              
        1      74    CACM-1341   11.92              0       0.040      0.6    BM25              
        1      75    CACM-1712   11.84              0        0.04      0.6    BM25              
        1      76    CACM-2398   11.84              0       0.039      0.6    BM25              
        1      77    CACM-0971   11.82              0       0.038      0.6    BM25              
        1      78    CACM-2878   11.81              0       0.038      0.6    BM25              
        1      79    CACM-2378   11.77              0       0.037      0.6    BM25              
        1      80    CACM-2003   11.69              0       0.037      0.6    BM25              
        1      81    CACM-2622   11.67              0       0.037      0.6    BM25              
        1      82    CACM-2920   11.67              0       0.036      0.6    BM25              
        1      83    CACM-2868   11.65              0       0.036      0.6    BM25              
        1      84    CACM-2948   11.64              0       0.035      0.6    BM25              
        1      85    CACM-2597   11.64              0       0.035      0.6    BM25              
        1      86    CACM-1626   11.54              0       0.034      0.6    BM25              
        1      87    CACM-1195   11.48              0       0.034      0.6    BM25              
        1      88    CACM-2288   11.48              0       0.034      0.6    BM25              
        1      89    CACM-0098   11.47              0       0.033      0.6    BM25              
        1      90    CACM-0103   11.43              0       0.033      0.6    BM25              
        1      91    CACM-1728   11.32              0       0.032      0.6    BM25              
        1      92    CACM-2536   11.32              0       0.032      0.6    BM25              
        1      93    CACM-2218   11.30              0       0.032      0.6    BM25              
        1      94    CACM-1113   11.22              0       0.031      0.6    BM25              
        1      95    CACM-1236   11.18              0       0.031      0.6    BM25              
        1      96    CACM-2681   11.16              0       0.031      0.6    BM25              
        1      97    CACM-1657   11.16              0       0.030      0.6    BM25              
        1      98    CACM-2537   11.12              0       0.030      0.6    BM25              
        1      99    CACM-0265   11.04              0       0.030      0.6    BM25              
        1     100    CACM-1069   11.02              0        0.03      0.6    BM25              
        2       1    CACM-3078   22.48              1         1.0    0.333    BM25              
        2       2    CACM-2434   16.88              1         1.0    0.666    BM25              
        2       3    CACM-2863   16.66              1         1.0      1.0    BM25              
