QueryID   Rank    DOCID         Score    Rel/Non-Rel   Precision     Recall      System
        1       1    CACM-1410   19.80              1         1.0      0.2    BM25_Task_3_Stopping
        1       2    CACM-2319   18.68              0         0.5      0.2    BM25_Task_3_Stopping
        1       3    CACM-1519   17.61              0       0.333      0.2    BM25_Task_3_Stopping
        1       4    CACM-1168   17.57              0        0.25      0.2    BM25_Task_3_Stopping
        1       5    CACM-3048   16.50              0         0.2      0.2    BM25_Task_3_Stopping
        1       6    CACM-3025   16.32              0       0.166      0.2    BM25_Task_3_Stopping
        1       7    CACM-1506   15.87              0       0.142      0.2    BM25_Task_3_Stopping
        1       8    CACM-2379   15.86              0       0.125      0.2    BM25_Task_3_Stopping
        1       9    CACM-1161   15.40              0       0.111      0.2    BM25_Task_3_Stopping
        1      10    CACM-1523   15.01              0         0.1      0.2    BM25_Task_3_Stopping
        1      11    CACM-2632   14.75              0       0.090      0.2    BM25_Task_3_Stopping
        1      12    CACM-2380   14.54              0       0.083      0.2    BM25_Task_3_Stopping
        1      13    CACM-2629   14.32              0       0.076      0.2    BM25_Task_3_Stopping
        1      14    CACM-2740   14.18              0       0.071      0.2    BM25_Task_3_Stopping
        1      15    CACM-1680   14.06              0       0.066      0.2    BM25_Task_3_Stopping
        1      16    CACM-2358   13.73              1       0.125      0.4    BM25_Task_3_Stopping
        1      17    CACM-1750   13.72              0       0.117      0.4    BM25_Task_3_Stopping
        1      18    CACM-1605   13.70              1       0.166      0.6    BM25_Task_3_Stopping
        1      19    CACM-1462   13.68              0       0.157      0.6    BM25_Task_3_Stopping
        1      20    CACM-1591   13.56              0        0.15      0.6    BM25_Task_3_Stopping
        1      21    CACM-1749   13.52              0       0.142      0.6    BM25_Task_3_Stopping
        1      22    CACM-3069   13.26              0       0.136      0.6    BM25_Task_3_Stopping
        1      23    CACM-1753   13.08              0       0.130      0.6    BM25_Task_3_Stopping
        1      24    CACM-2357   13.00              0       0.125      0.6    BM25_Task_3_Stopping
        1      25    CACM-0414   12.96              0        0.12      0.6    BM25_Task_3_Stopping
        1      26    CACM-3127   12.74              0       0.115      0.6    BM25_Task_3_Stopping
        1      27    CACM-2317   12.57              0       0.111      0.6    BM25_Task_3_Stopping
        1      28    CACM-1544   12.36              0       0.107      0.6    BM25_Task_3_Stopping
        1      29    CACM-1464   12.34              0       0.103      0.6    BM25_Task_3_Stopping
        1      30    CACM-2372   12.34              0         0.1      0.6    BM25_Task_3_Stopping
        1      31    CACM-1046   12.24              0       0.096      0.6    BM25_Task_3_Stopping
        1      32    CACM-1938   12.17              0       0.093      0.6    BM25_Task_3_Stopping
        1      33    CACM-1179   12.05              0       0.090      0.6    BM25_Task_3_Stopping
        1      34    CACM-2621   12.04              0       0.088      0.6    BM25_Task_3_Stopping
        1      35    CACM-1685   11.92              0       0.085      0.6    BM25_Task_3_Stopping
        1      36    CACM-2950   11.88              0       0.083      0.6    BM25_Task_3_Stopping
        1      37    CACM-0585   11.86              0       0.081      0.6    BM25_Task_3_Stopping
        1      38    CACM-2624   11.84              0       0.078      0.6    BM25_Task_3_Stopping
        1      39    CACM-2054   11.81              0       0.076      0.6    BM25_Task_3_Stopping
        1      40    CACM-1747   11.76              0       0.075      0.6    BM25_Task_3_Stopping
        1      41    CACM-0971   11.70              0       0.073      0.6    BM25_Task_3_Stopping
        1      42    CACM-1844   11.68              0       0.071      0.6    BM25_Task_3_Stopping
        1      43    CACM-2371   11.54              0       0.069      0.6    BM25_Task_3_Stopping
        1      44    CACM-0098   11.47              0       0.068      0.6    BM25_Task_3_Stopping
        1      45    CACM-1805   11.11              0       0.066      0.6    BM25_Task_3_Stopping
        1      46    CACM-1315   11.03              0       0.065      0.6    BM25_Task_3_Stopping
        1      47    CACM-1697   11.01              0       0.063      0.6    BM25_Task_3_Stopping
        1      48    CACM-2796   10.92              0       0.062      0.6    BM25_Task_3_Stopping
        1      49    CACM-1755   10.92              0       0.061      0.6    BM25_Task_3_Stopping
        1      50    CACM-2424   10.87              0        0.06      0.6    BM25_Task_3_Stopping
        1      51    CACM-2917   10.87              0       0.058      0.6    BM25_Task_3_Stopping
        1      52    CACM-2151   10.85              0       0.057      0.6    BM25_Task_3_Stopping
        1      53    CACM-1069   10.83              0       0.056      0.6    BM25_Task_3_Stopping
        1      54    CACM-2951   10.77              0       0.055      0.6    BM25_Task_3_Stopping
        1      55    CACM-1647   10.75              0       0.054      0.6    BM25_Task_3_Stopping
