QueryID   Rank    DOCID         Score    Rel/Non-Rel   Precision     Recall      System
        1       1    CACM-1410   0.376              1         1.0      0.2    COS               
        1       2    CACM-3069   0.327              0         0.5      0.2    COS               
        1       3    CACM-1046   0.314              0       0.333      0.2    COS               
        1       4    CACM-1605   0.306              1         0.5      0.4    COS               
        1       5    CACM-1572   0.302              1         0.6      0.6    COS               
        1       6    CACM-2380   0.301              0         0.5      0.6    COS               
        1       7    CACM-1506   0.299              0       0.428      0.6    COS               
        1       8    CACM-1685   0.293              0       0.375      0.6    COS               
        1       9    CACM-1341   0.293              0       0.333      0.6    COS               
        1      10    CACM-1523   0.289              0         0.3      0.6    COS               
        1      11    CACM-2989   0.288              0       0.272      0.6    COS               
        1      12    CACM-1938   0.282              0        0.25      0.6    COS               
        1      13    CACM-2626   0.279              0       0.230      0.6    COS               
        1      14    CACM-1408   0.279              0       0.214      0.6    COS               
        1      15    CACM-0397   0.274              0         0.2      0.6    COS               
        1      16    CACM-2319   0.272              0       0.187      0.6    COS               
        1      17    CACM-1161   0.271              0       0.176      0.6    COS               
        1      18    CACM-0971   0.271              0       0.166      0.6    COS               
        1      19    CACM-1697   0.269              0       0.157      0.6    COS               
        1      20    CACM-0615   0.268              0        0.15      0.6    COS               
        1      21    CACM-1792   0.268              0       0.142      0.6    COS               
        1      22    CACM-2358   0.266              1       0.181      0.8    COS               
        1      23    CACM-2951   0.262              0       0.173      0.8    COS               
        1      24    CACM-1753   0.260              0       0.166      0.8    COS               
        1      25    CACM-1544   0.260              0        0.16      0.8    COS               
        1      26    CACM-1225   0.256              0       0.153      0.8    COS               
        1      27    CACM-0637   0.255              0       0.148      0.8    COS               
        1      28    CACM-0414   0.255              0       0.142      0.8    COS               
        1      29    CACM-1960   0.255              0       0.137      0.8    COS               
        1      30    CACM-2519   0.255              0       0.133      0.8    COS               
        1      31    CACM-0585   0.255              0       0.129      0.8    COS               
        1      32    CACM-2537   0.253              0       0.125      0.8    COS               
        1      33    CACM-2053   0.251              0       0.121      0.8    COS               
        1      34    CACM-1526   0.247              0       0.117      0.8    COS               
        1      35    CACM-2892   0.247              0       0.114      0.8    COS               
        1      36    CACM-2390   0.246              0       0.111      0.8    COS               
        1      37    CACM-2764   0.246              0       0.108      0.8    COS               
        1      38    CACM-1698   0.246              0       0.105      0.8    COS               
        1      39    CACM-2371   0.246              0       0.102      0.8    COS               
        1      40    CACM-1413   0.245              0         0.1      0.8    COS               
        1      41    CACM-1315   0.244              0       0.097      0.8    COS               
        1      42    CACM-1642   0.244              0       0.095      0.8    COS               
        1      43    CACM-0098   0.244              0       0.093      0.8    COS               
        1      44    CACM-2054   0.243              0       0.090      0.8    COS               
        1      45    CACM-1113   0.243              0       0.088      0.8    COS               
        1      46    CACM-2340   0.242              0       0.086      0.8    COS               
        1      47    CACM-1805   0.241              0       0.085      0.8    COS               
        1      48    CACM-0695   0.240              0       0.083      0.8    COS               
        1      49    CACM-1519   0.240              0       0.081      0.8    COS               
        1      50    CACM-1179   0.238              0        0.08      0.8    COS               
        1      51    CACM-2438   0.238              0       0.078      0.8    COS               
        1      52    CACM-1391   0.238              0       0.076      0.8    COS               
        1      53    CACM-1163   0.238              0       0.075      0.8    COS               
        1      54    CACM-3025   0.237              0       0.074      0.8    COS               
        1      55    CACM-1647   0.236              0       0.072      0.8    COS               
        1      56    CACM-2669   0.236              0       0.071      0.8    COS               
        1      57    CACM-2938   0.235              0       0.070      0.8    COS               
        1      58    CACM-1749   0.234              0       0.068      0.8    COS               
