QueryID   Rank    DOCID         Score    Rel/Non-Rel   Precision     Recall      System
        1       1    CACM-2380   25.42              0         0.0      0.0    TFIDF             
        1       2    CACM-2319   21.71              0         0.0      0.0    TFIDF             
        1       3    CACM-1410   21.63              1       0.333      0.2    TFIDF             
        1       4    CACM-1591   18.45              0        0.25      0.2    TFIDF             
        1       5    CACM-2358   17.88              1         0.4      0.4    TFIDF             
        1       6    CACM-1605   17.17              1         0.5      0.6    TFIDF             
        1       7    CACM-1523   16.99              0       0.428      0.6    TFIDF             
        1       8    CACM-3069   15.59              0       0.375      0.6    TFIDF             
        1       9    CACM-3048   14.78              0       0.333      0.6    TFIDF             
        1      10    CACM-2379   14.51              0         0.3      0.6    TFIDF             
        1      11    CACM-1046   14.35              0       0.272      0.6    TFIDF             
        1      12    CACM-0397   13.83              0        0.25      0.6    TFIDF             
        1      13    CACM-2340   13.54              0       0.230      0.6    TFIDF             
        1      14    CACM-2951   13.37              0       0.214      0.6    TFIDF             
        1      15    CACM-1519   13.37              0         0.2      0.6    TFIDF             
        1      16    CACM-3142   13.01              0       0.187      0.6    TFIDF             
        1      17    CACM-2371   12.90              0       0.176      0.6    TFIDF             
        1      18    CACM-1665   12.85              0       0.166      0.6    TFIDF             
        1      19    CACM-2542   12.80              0       0.157      0.6    TFIDF             
        1      20    CACM-2989   12.79              0        0.15      0.6    TFIDF             
        1      21    CACM-1844   12.76              0       0.142      0.6    TFIDF             
        1      22    CACM-2931   12.73              0       0.136      0.6    TFIDF             
        1      23    CACM-1749   12.67              0       0.130      0.6    TFIDF             
        1      24    CACM-2188   12.50              0       0.125      0.6    TFIDF             
        1      25    CACM-1033   12.49              0        0.12      0.6    TFIDF             
        1      26    CACM-1680   12.48              0       0.115      0.6    TFIDF             
        1      27    CACM-1827   12.37              0       0.111      0.6    TFIDF             
        1      28    CACM-1885   12.22              0       0.107      0.6    TFIDF             
        1      29    CACM-1544   12.10              0       0.103      0.6    TFIDF             
        1      30    CACM-1753   12.08              0         0.1      0.6    TFIDF             
        1      31    CACM-1698   12.03              0       0.096      0.6    TFIDF             
        1      32    CACM-1506   12.03              0       0.093      0.6    TFIDF             
        1      33    CACM-1161   11.84              0       0.090      0.6    TFIDF             
        1      34    CACM-1697   11.80              0       0.088      0.6    TFIDF             
        1      35    CACM-3087   11.77              0       0.085      0.6    TFIDF             
        1      36    CACM-1938   11.61              0       0.083      0.6    TFIDF             
        1      37    CACM-0585   11.16              0       0.081      0.6    TFIDF             
        1      38    CACM-1264   10.83              0       0.078      0.6    TFIDF             
        1      39    CACM-1956   10.81              0       0.076      0.6    TFIDF             
        1      40    CACM-1393   10.70              0       0.075      0.6    TFIDF             
        1      41    CACM-2344   10.65              0       0.073      0.6    TFIDF             
        1      42    CACM-2317   10.59              0       0.071      0.6    TFIDF             
        1      43    CACM-1642   10.48              0       0.069      0.6    TFIDF             
        1      44    CACM-1691   10.35              0       0.068      0.6    TFIDF             
        1      45    CACM-1647   10.33              0       0.066      0.6    TFIDF             
        1      46    CACM-2054   10.19              0       0.065      0.6    TFIDF             
        1      47    CACM-3112   10.11              0       0.063      0.6    TFIDF             
        1      48    CACM-1719   10.05              0       0.062      0.6    TFIDF             
        1      49    CACM-0637   9.950              0       0.061      0.6    TFIDF             
        1      50    CACM-1195   9.884              0        0.06      0.6    TFIDF             
        1      51    CACM-2876   9.761              0       0.058      0.6    TFIDF             
        1      52    CACM-1179   9.590              0       0.057      0.6    TFIDF             
        1      53    CACM-2390   9.543              0       0.056      0.6    TFIDF             
        1      54    CACM-2375   9.512              0       0.055      0.6    TFIDF             
        1      55    CACM-2740   9.477              0       0.054      0.6    TFIDF             
        1      56    CACM-1685   9.441              0       0.053      0.6    TFIDF             
        1      57    CACM-3025   9.316              0       0.052      0.6    TFIDF             
        1      58    CACM-1315   9.315              0       0.051      0.6    TFIDF             
        1      59    CACM-2948   9.292              0       0.050      0.6    TFIDF             
        1      60    CACM-2537   9.269              0        0.05      0.6    TFIDF             
        1      61    CACM-3091   9.268              0       0.049      0.6    TFIDF             
        1      62    CACM-2470   9.259              0       0.048      0.6    TFIDF             
        1      63    CACM-1408   9.227              0       0.047      0.6    TFIDF             
        1      64    CACM-2632   9.222              0       0.046      0.6    TFIDF             
        1      65    CACM-1542   9.216              0       0.046      0.6    TFIDF             
        1      66    CACM-2621   9.215              0       0.045      0.6    TFIDF             
        1      67    CACM-2955   9.111              0       0.044      0.6    TFIDF             
        1      68    CACM-2541   9.000              0       0.044      0.6    TFIDF             
        1      69    CACM-1805   8.890              0       0.043      0.6    TFIDF             
        1      70    CACM-2560   8.806              0       0.042      0.6    TFIDF             
        1      71    CACM-2627   8.754              0       0.042      0.6    TFIDF             
        1      72    CACM-2622   8.716              0       0.041      0.6    TFIDF             
        1      73    CACM-2002   8.716              0       0.041      0.6    TFIDF             
        1      74    CACM-2947   8.645              0       0.040      0.6    TFIDF             
        1      75    CACM-1572   8.610              1       0.053      0.8    TFIDF             
        1      76    CACM-1960   8.587              0       0.052      0.8    TFIDF             
        1      77    CACM-2629   8.567              0       0.051      0.8    TFIDF             
        1      78    CACM-2626   8.336              0       0.051      0.8    TFIDF             
        1      79    CACM-0972   8.323              0       0.050      0.8    TFIDF             
        1      80    CACM-2438   8.272              0        0.05      0.8    TFIDF             
        1      81    CACM-2535   8.233              0       0.049      0.8    TFIDF             
        1      82    CACM-2620   8.178              0       0.048      0.8    TFIDF             
        1      83    CACM-1170   8.139              0       0.048      0.8    TFIDF             
        1      84    CACM-1829   8.048              0       0.047      0.8    TFIDF             
        1      85    CACM-1108   7.991              0       0.047      0.8    TFIDF             
        1      86    CACM-0971   7.894              0       0.046      0.8    TFIDF             
        1      87    CACM-1874   7.877              0       0.045      0.8    TFIDF             
        1      88    CACM-2357   7.870              0       0.045      0.8    TFIDF             
        1      89    CACM-1280   7.832              0       0.044      0.8    TFIDF             
        1      90    CACM-2187   7.816              0       0.044      0.8    TFIDF             
        1      91    CACM-2984   7.809              0       0.043      0.8    TFIDF             
        1      92    CACM-1440   7.786              0       0.043      0.8    TFIDF             
        1      93    CACM-2572   7.768              0       0.043      0.8    TFIDF             
        1      94    CACM-1811   7.751              0       0.042      0.8    TFIDF             
        1      95    CACM-0616   7.701              0       0.042      0.8    TFIDF             
        1      96    CACM-2035   7.686              0       0.041      0.8    TFIDF             
        1      97    CACM-1853   7.628              0       0.041      0.8    TFIDF             
        1      98    CACM-1173   7.598              0       0.040      0.8    TFIDF             
        1      99    CACM-0414   7.552              0       0.040      0.8    TFIDF             
        1     100    CACM-3179   7.496              0        0.04      0.8    TFIDF             
        2       1    CACM-1519   14.07              0         0.0      0.0    TFIDF             
        2       2    CACM-2714   12.56              0         0.0      0.0    TFIDF             
        2       3    CACM-1046   12.35              0         0.0      0.0    TFIDF             
        2       4    CACM-2194   12.25              0         0.0      0.0    TFIDF             
        2       5    CACM-1264   10.59              0         0.0      0.0    TFIDF             
        2       6    CACM-2002   10.55              0         0.0      0.0    TFIDF             
        2       7    CACM-0397   10.54              0         0.0      0.0    TFIDF             
        2       8    CACM-0616   10.44              0         0.0      0.0    TFIDF             
        2       9    CACM-1379   10.43              0         0.0      0.0    TFIDF             
        2      10    CACM-2434   10.36              1         0.1    0.333    TFIDF             
        2      11    CACM-2863   10.26              1       0.181    0.666    TFIDF             
        2      12    CACM-3028   10.22              0       0.166    0.666    TFIDF             
        2      13    CACM-2905   9.996              0       0.153    0.666    TFIDF             
        2      14    CACM-2177   9.988              0       0.142    0.666    TFIDF             
        2      15    CACM-1931   9.719              0       0.133    0.666    TFIDF             
        2      16    CACM-0531   9.312              0       0.125    0.666    TFIDF             
