QueryID   Rank    DOCID         Score    Rel/Non-Rel   Precision     Recall      System
        1       1    CACM-2319   19.84              0         0.0      0.0    Task_2_Psuedo_REL 
        1       2    CACM-1519   18.31              0         0.0      0.0    Task_2_Psuedo_REL 
        1       3    CACM-1410   15.78              1       0.333      0.2    Task_2_Psuedo_REL 
        1       4    CACM-2740   15.61              0        0.25      0.2    Task_2_Psuedo_REL 
        1       5    CACM-3127   15.56              0         0.2      0.2    Task_2_Psuedo_REL 
        1       6    CACM-3025   15.03              0       0.166      0.2    Task_2_Psuedo_REL 
        1       7    CACM-1680   14.78              0       0.142      0.2    Task_2_Psuedo_REL 
        1       8    CACM-2379   14.69              0       0.125      0.2    Task_2_Psuedo_REL 
        1       9    CACM-1591   14.67              0       0.111      0.2    Task_2_Psuedo_REL 
        1      10    CACM-2380   13.47              0         0.1      0.2    Task_2_Psuedo_REL 
        1      11    CACM-2357   13.42              0       0.090      0.2    Task_2_Psuedo_REL 
        1      12    CACM-1462   12.84              0       0.083      0.2    Task_2_Psuedo_REL 
        1      13    CACM-2632   12.84              0       0.076      0.2    Task_2_Psuedo_REL 
        1      14    CACM-1464   12.73              0       0.071      0.2    Task_2_Psuedo_REL 
        1      15    CACM-2372   12.73              0       0.066      0.2    Task_2_Psuedo_REL 
        1      16    CACM-2629   12.70              0       0.062      0.2    Task_2_Psuedo_REL 
        1      17    CACM-2424   12.52              0       0.058      0.2    Task_2_Psuedo_REL 
        1      18    CACM-1605   12.50              1       0.111      0.4    Task_2_Psuedo_REL 
        1      19    CACM-2358   12.38              1       0.157      0.6    Task_2_Psuedo_REL 
        1      20    CACM-2317   12.17              0        0.15      0.6    Task_2_Psuedo_REL 
        1      21    CACM-1750   11.80              0       0.142      0.6    Task_2_Psuedo_REL 
        1      22    CACM-1506   11.74              0       0.136      0.6    Task_2_Psuedo_REL 
        1      23    CACM-1523   11.64              0       0.130      0.6    Task_2_Psuedo_REL 
        1      24    CACM-2219   11.56              0       0.125      0.6    Task_2_Psuedo_REL 
        1      25    CACM-2951   11.37              0        0.12      0.6    Task_2_Psuedo_REL 
        1      26    CACM-1264   11.35              0       0.115      0.6    Task_2_Psuedo_REL 
        1      27    CACM-0585   11.32              0       0.111      0.6    Task_2_Psuedo_REL 
        1      28    CACM-2920   11.15              0       0.107      0.6    Task_2_Psuedo_REL 
        1      29    CACM-2950   10.75              0       0.103      0.6    Task_2_Psuedo_REL 
        1      30    CACM-1805   10.61              0         0.1      0.6    Task_2_Psuedo_REL 
        1      31    CACM-1747   10.42              0       0.096      0.6    Task_2_Psuedo_REL 
        1      32    CACM-1315   10.32              0       0.093      0.6    Task_2_Psuedo_REL 
        1      33    CACM-1161   10.13              0       0.090      0.6    Task_2_Psuedo_REL 
        1      34    CACM-1749   10.07              0       0.088      0.6    Task_2_Psuedo_REL 
        1      35    CACM-2054   9.874              0       0.085      0.6    Task_2_Psuedo_REL 
        1      36    CACM-3048   9.773              0       0.083      0.6    Task_2_Psuedo_REL 
        1      37    CACM-1827   9.023              0       0.081      0.6    Task_2_Psuedo_REL 
        1      38    CACM-1844   8.844              0       0.078      0.6    Task_2_Psuedo_REL 
        1      39    CACM-1236   8.812              0       0.076      0.6    Task_2_Psuedo_REL 
        1      40    CACM-2868   8.623              0       0.075      0.6    Task_2_Psuedo_REL 
        1      41    CACM-2621   8.590              0       0.073      0.6    Task_2_Psuedo_REL 
        1      42    CACM-1698   8.561              0       0.071      0.6    Task_2_Psuedo_REL 
        1      43    CACM-1647   8.484              0       0.069      0.6    Task_2_Psuedo_REL 
        1      44    CACM-1033   8.410              0       0.068      0.6    Task_2_Psuedo_REL 
        1      45    CACM-3068   8.385              0       0.066      0.6    Task_2_Psuedo_REL 
        1      46    CACM-2946   8.343              0       0.065      0.6    Task_2_Psuedo_REL 
        1      47    CACM-2535   8.329              0       0.063      0.6    Task_2_Psuedo_REL 
        1      48    CACM-1753   8.219              0       0.062      0.6    Task_2_Psuedo_REL 
        1      49    CACM-2297   8.189              0       0.061      0.6    Task_2_Psuedo_REL 
        1      50    CACM-1179   8.117              0        0.06      0.6    Task_2_Psuedo_REL 
        1      51    CACM-2597   8.036              0       0.058      0.6    Task_2_Psuedo_REL 
        1      52    CACM-1408   7.989              0       0.057      0.6    Task_2_Psuedo_REL 
        1      53    CACM-2622   7.930              0       0.056      0.6    Task_2_Psuedo_REL 
        1      54    CACM-2624   7.903              0       0.055      0.6    Task_2_Psuedo_REL 
