QueryID   Rank    DOCID         Score      System
        1       1    CACM-1410   22.05     BM25
        1       2    CACM-2319   20.94     BM25
        1       3    CACM-1519   20.12     BM25
        1       4    CACM-2379   19.92     BM25
        1       5    CACM-1506   18.50     BM25
        1       6    CACM-1161   18.25     BM25
        1       7    CACM-2632   17.80     BM25
        1       8    CACM-1168   17.57     BM25
        1       9    CACM-1605   16.89     BM25
        1      10    CACM-3069   16.83     BM25
        1      11    CACM-1523   16.77     BM25
        1      12    CACM-3048   16.70     BM25
        1      13    CACM-1750   16.45     BM25
        1      14    CACM-3025   16.44     BM25
        1      15    CACM-1591   16.43     BM25
        1      16    CACM-1698   16.39     BM25
        1      17    CACM-1464   16.10     BM25
        1      18    CACM-3127   15.65     BM25
        1      19    CACM-2380   15.49     BM25
        1      20    CACM-2358   15.33     BM25
        1      21    CACM-2357   15.30     BM25
        1      22    CACM-2054   15.29     BM25
        1      23    CACM-2950   15.25     BM25
        1      24    CACM-1749   15.19     BM25
        1      25    CACM-2740   15.14     BM25
        1      26    CACM-1938   14.97     BM25
        1      27    CACM-1462   14.97     BM25
        1      28    CACM-1680   14.94     BM25
        1      29    CACM-0414   14.88     BM25
        1      30    CACM-1753   14.64     BM25
        1      31    CACM-1544   14.56     BM25
        1      32    CACM-0585   14.49     BM25
        1      33    CACM-2629   14.44     BM25
        1      34    CACM-2946   14.41     BM25
        1      35    CACM-1033   14.20     BM25
        1      36    CACM-1393   14.14     BM25
        1      37    CACM-3011   13.90     BM25
        1      38    CACM-1805   13.82     BM25
        1      39    CACM-1225   13.57     BM25
        1      40    CACM-1844   13.56     BM25
        1      41    CACM-0397   13.55     BM25
        1      42    CACM-1046   13.49     BM25
        1      43    CACM-2317   13.45     BM25
        1      44    CACM-2372   13.45     BM25
        1      45    CACM-2541   13.37     BM25
        1      46    CACM-2621   13.29     BM25
        1      47    CACM-0698   13.28     BM25
        1      48    CACM-1827   13.27     BM25
        1      49    CACM-1685   13.25     BM25
        1      50    CACM-1542   13.24     BM25
        1      51    CACM-1179   13.20     BM25
        1      52    CACM-2424   13.20     BM25
        1      53    CACM-1264   13.14     BM25
        1      54    CACM-1647   13.03     BM25
        1      55    CACM-2624   12.91     BM25
        1      56    CACM-2312   12.85     BM25
        1      57    CACM-2080   12.73     BM25
        1      58    CACM-2917   12.68     BM25
        1      59    CACM-2764   12.62     BM25
        1      60    CACM-2371   12.62     BM25
        1      61    CACM-1747   12.56     BM25
        1      62    CACM-2796   12.54     BM25
        1      63    CACM-2947   12.51     BM25
        1      64    CACM-3065   12.50     BM25
        1      65    CACM-1226   12.46     BM25
        1      66    CACM-3068   12.44     BM25
        1      67    CACM-1304   12.32     BM25
        1      68    CACM-1408   12.30     BM25
        1      69    CACM-1697   12.26     BM25
        1      70    CACM-1315   12.03     BM25
        1      71    CACM-0637   12.00     BM25
        1      72    CACM-2535   11.99     BM25
        1      73    CACM-2219   11.94     BM25
        1      74    CACM-1341   11.92     BM25
        1      75    CACM-1712   11.84     BM25
        1      76    CACM-2398   11.84     BM25
        1      77    CACM-0971   11.82     BM25
        1      78    CACM-2878   11.81     BM25
        1      79    CACM-2378   11.77     BM25
        1      80    CACM-2003   11.69     BM25
        1      81    CACM-2622   11.67     BM25
