QueryID   Rank    DOCID         Score      System
        1       1    CACM-1410   19.80    BM25_Task_3_Stopping
        1       2    CACM-2319   18.68    BM25_Task_3_Stopping
        1       3    CACM-1519   17.61    BM25_Task_3_Stopping
        1       4    CACM-1168   17.57    BM25_Task_3_Stopping
        1       5    CACM-3048   16.50    BM25_Task_3_Stopping
        1       6    CACM-3025   16.32    BM25_Task_3_Stopping
        1       7    CACM-1506   15.87    BM25_Task_3_Stopping
        1       8    CACM-2379   15.86    BM25_Task_3_Stopping
        1       9    CACM-1161   15.40    BM25_Task_3_Stopping
        1      10    CACM-1523   15.01    BM25_Task_3_Stopping
        1      11    CACM-2632   14.75    BM25_Task_3_Stopping
        1      12    CACM-2380   14.54    BM25_Task_3_Stopping
        1      13    CACM-2629   14.32    BM25_Task_3_Stopping
        1      14    CACM-2740   14.18    BM25_Task_3_Stopping
        1      15    CACM-1680   14.06    BM25_Task_3_Stopping
        1      16    CACM-2358   13.73    BM25_Task_3_Stopping
        1      17    CACM-1750   13.72    BM25_Task_3_Stopping
        1      18    CACM-1605   13.70    BM25_Task_3_Stopping
        1      19    CACM-1462   13.68    BM25_Task_3_Stopping
        1      20    CACM-1591   13.56    BM25_Task_3_Stopping
        1      21    CACM-1749   13.52    BM25_Task_3_Stopping
        1      22    CACM-3069   13.26    BM25_Task_3_Stopping
        1      23    CACM-1753   13.08    BM25_Task_3_Stopping
        1      24    CACM-2357   13.00    BM25_Task_3_Stopping
        1      25    CACM-0414   12.96    BM25_Task_3_Stopping
        1      26    CACM-3127   12.74    BM25_Task_3_Stopping
        1      27    CACM-2317   12.57    BM25_Task_3_Stopping
        1      28    CACM-1544   12.36    BM25_Task_3_Stopping
        1      29    CACM-1464   12.34    BM25_Task_3_Stopping
        1      30    CACM-2372   12.34    BM25_Task_3_Stopping
        1      31    CACM-1046   12.24    BM25_Task_3_Stopping
        1      32    CACM-1938   12.17    BM25_Task_3_Stopping
        1      33    CACM-1179   12.05    BM25_Task_3_Stopping
        1      34    CACM-2621   12.04    BM25_Task_3_Stopping
        1      35    CACM-1685   11.92    BM25_Task_3_Stopping
        1      36    CACM-2950   11.88    BM25_Task_3_Stopping
        1      37    CACM-0585   11.86    BM25_Task_3_Stopping
