QueryID   Rank    DOCID         Score      System
        1       1    CACM-2319   38.93    Run_7_Tfidf_Pseudo
        1       2    CACM-1591   34.19    Run_7_Tfidf_Pseudo
        1       3    CACM-2380   32.42    Run_7_Tfidf_Pseudo
        1       4    CACM-2740   27.54    Run_7_Tfidf_Pseudo
        1       5    CACM-1680   27.30    Run_7_Tfidf_Pseudo
        1       6    CACM-2379   26.73    Run_7_Tfidf_Pseudo
        1       7    CACM-1410   26.11    Run_7_Tfidf_Pseudo
        1       8    CACM-2358   25.42    Run_7_Tfidf_Pseudo
        1       9    CACM-1605   23.66    Run_7_Tfidf_Pseudo
        1      10    CACM-2951   23.27    Run_7_Tfidf_Pseudo
        1      11    CACM-1844   22.62    Run_7_Tfidf_Pseudo
        1      12    CACM-1519   22.28    Run_7_Tfidf_Pseudo
        1      13    CACM-1523   21.84    Run_7_Tfidf_Pseudo
        1      14    CACM-2317   21.82    Run_7_Tfidf_Pseudo
        1      15    CACM-2188   20.97    Run_7_Tfidf_Pseudo
        1      16    CACM-2629   19.53    Run_7_Tfidf_Pseudo
        1      17    CACM-2375   19.26    Run_7_Tfidf_Pseudo
        1      18    CACM-2542   19.16    Run_7_Tfidf_Pseudo
        1      19    CACM-3025   19.09    Run_7_Tfidf_Pseudo
        1      20    CACM-2424   18.90    Run_7_Tfidf_Pseudo
        1      21    CACM-1264   18.72    Run_7_Tfidf_Pseudo
        1      22    CACM-1749   18.09    Run_7_Tfidf_Pseudo
        1      23    CACM-3048   18.05    Run_7_Tfidf_Pseudo
        1      24    CACM-1956   18.0    Run_7_Tfidf_Pseudo
        1      25    CACM-2372   17.71    Run_7_Tfidf_Pseudo
        1      26    CACM-2632   17.46    Run_7_Tfidf_Pseudo
        1      27    CACM-1033   17.10    Run_7_Tfidf_Pseudo
        1      28    CACM-2357   17.08    Run_7_Tfidf_Pseudo
        1      29    CACM-1938   16.91    Run_7_Tfidf_Pseudo
        1      30    CACM-3068   16.90    Run_7_Tfidf_Pseudo
        1      31    CACM-1827   16.71    Run_7_Tfidf_Pseudo
        1      32    CACM-0585   16.46    Run_7_Tfidf_Pseudo
        1      33    CACM-2344   16.34    Run_7_Tfidf_Pseudo
        1      34    CACM-1544   16.28    Run_7_Tfidf_Pseudo
        1      35    CACM-1719   16.16    Run_7_Tfidf_Pseudo
        1      36    CACM-3127   16.08    Run_7_Tfidf_Pseudo
        1      37    CACM-3112   16.08    Run_7_Tfidf_Pseudo
        1      38    CACM-3091   16.0    Run_7_Tfidf_Pseudo
        1      39    CACM-2371   15.84    Run_7_Tfidf_Pseudo
        1      40    CACM-2627   15.81    Run_7_Tfidf_Pseudo
        1      41    CACM-1046   15.71    Run_7_Tfidf_Pseudo
        1      42    CACM-1750   15.71    Run_7_Tfidf_Pseudo
        1      43    CACM-2622   15.71    Run_7_Tfidf_Pseudo
        1      44    CACM-3087   15.34    Run_7_Tfidf_Pseudo
        1      45    CACM-2219   15.27    Run_7_Tfidf_Pseudo
        1      46    CACM-1506   15.21    Run_7_Tfidf_Pseudo
        1      47    CACM-2621   15.21    Run_7_Tfidf_Pseudo
        1      48    CACM-1747   15.16    Run_7_Tfidf_Pseudo
        1      49    CACM-1885   15.10    Run_7_Tfidf_Pseudo
        1      50    CACM-1647   14.85    Run_7_Tfidf_Pseudo
        1      51    CACM-1665   14.53    Run_7_Tfidf_Pseudo
        1      52    CACM-1697   14.37    Run_7_Tfidf_Pseudo
        1      53    CACM-2955   14.34    Run_7_Tfidf_Pseudo
        1      54    CACM-1811   14.26    Run_7_Tfidf_Pseudo
        1      55    CACM-0637   14.09    Run_7_Tfidf_Pseudo
        1      56    CACM-3069   14.05    Run_7_Tfidf_Pseudo
        1      57    CACM-2620   14.0    Run_7_Tfidf_Pseudo
        1      58    CACM-1753   13.96    Run_7_Tfidf_Pseudo
        1      59    CACM-2535   13.90    Run_7_Tfidf_Pseudo
        1      60    CACM-2054   13.83    Run_7_Tfidf_Pseudo
        1      61    CACM-1572   13.65    Run_7_Tfidf_Pseudo
        1      62    CACM-1315   13.65    Run_7_Tfidf_Pseudo
        1      63    CACM-1179   13.65    Run_7_Tfidf_Pseudo
        1      64    CACM-1464   13.63    Run_7_Tfidf_Pseudo
        1      65    CACM-0397   13.46    Run_7_Tfidf_Pseudo
        1      66    CACM-2868   13.27    Run_7_Tfidf_Pseudo
        1      67    CACM-2920   13.27    Run_7_Tfidf_Pseudo
