QueryID   Rank    DOCID         Score      System
        1       1    CACM-2380   25.42    TFIDF
        1       2    CACM-2319   21.71    TFIDF
        1       3    CACM-1410   21.63    TFIDF
        1       4    CACM-1591   18.45    TFIDF
        1       5    CACM-2358   17.88    TFIDF
        1       6    CACM-1605   17.17    TFIDF
        1       7    CACM-1523   16.99    TFIDF
        1       8    CACM-3069   15.59    TFIDF
        1       9    CACM-3048   14.78    TFIDF
        1      10    CACM-2379   14.51    TFIDF
        1      11    CACM-1046   14.35    TFIDF
        1      12    CACM-0397   13.83    TFIDF
        1      13    CACM-2340   13.54    TFIDF
        1      14    CACM-2951   13.37    TFIDF
        1      15    CACM-1519   13.37    TFIDF
        1      16    CACM-3142   13.01    TFIDF
        1      17    CACM-2371   12.90    TFIDF
        1      18    CACM-1665   12.85    TFIDF
        1      19    CACM-2542   12.80    TFIDF
        1      20    CACM-2989   12.79    TFIDF
        1      21    CACM-1844   12.76    TFIDF
        1      22    CACM-2931   12.73    TFIDF
        1      23    CACM-1749   12.67    TFIDF
        1      24    CACM-2188   12.50    TFIDF
        1      25    CACM-1033   12.49    TFIDF
        1      26    CACM-1680   12.48    TFIDF
        1      27    CACM-1827   12.37    TFIDF
        1      28    CACM-1885   12.22    TFIDF
        1      29    CACM-1544   12.10    TFIDF
        1      30    CACM-1753   12.08    TFIDF
        1      31    CACM-1698   12.03    TFIDF
        1      32    CACM-1506   12.03    TFIDF
        1      33    CACM-1161   11.84    TFIDF
        1      34    CACM-1697   11.80    TFIDF
        1      35    CACM-3087   11.77    TFIDF
        1      36    CACM-1938   11.61    TFIDF
        1      37    CACM-0585   11.16    TFIDF
        1      38    CACM-1264   10.83    TFIDF
        1      39    CACM-1956   10.81    TFIDF
        1      40    CACM-1393   10.70    TFIDF
        1      41    CACM-2344   10.65    TFIDF
        1      42    CACM-2317   10.59    TFIDF
        1      43    CACM-1642   10.48    TFIDF
        1      44    CACM-1691   10.35    TFIDF
        1      45    CACM-1647   10.33    TFIDF
        1      46    CACM-2054   10.19    TFIDF
        1      47    CACM-3112   10.11    TFIDF
        1      48    CACM-1719   10.05    TFIDF
        1      49    CACM-0637   9.950    TFIDF
        1      50    CACM-1195   9.884    TFIDF
        1      51    CACM-2876   9.761    TFIDF
        1      52    CACM-1179   9.590    TFIDF
        1      53    CACM-2390   9.543    TFIDF
        1      54    CACM-2375   9.512    TFIDF
        1      55    CACM-2740   9.477    TFIDF
        1      56    CACM-1685   9.441    TFIDF
        1      57    CACM-3025   9.316    TFIDF
        1      58    CACM-1315   9.315    TFIDF
        1      59    CACM-2948   9.292    TFIDF
        1      60    CACM-2537   9.269    TFIDF
        1      61    CACM-3091   9.268    TFIDF
        1      62    CACM-2470   9.259    TFIDF
        1      63    CACM-1408   9.227    TFIDF
        1      64    CACM-2632   9.222    TFIDF
        1      65    CACM-1542   9.216    TFIDF
        1      66    CACM-2621   9.215    TFIDF
        1      67    CACM-2955   9.111    TFIDF
        1      68    CACM-2541   9.000    TFIDF
        1      69    CACM-1805   8.890    TFIDF
        1      70    CACM-2560   8.806    TFIDF
        1      71    CACM-2627   8.754    TFIDF
        1      72    CACM-2622   8.716    TFIDF
        1      73    CACM-2002   8.716    TFIDF
        1      74    CACM-2947   8.645    TFIDF
        1      75    CACM-1572   8.610    TFIDF
        1      76    CACM-1960   8.587    TFIDF
        1      77    CACM-2629   8.567    TFIDF
        1      78    CACM-2626   8.336    TFIDF
        1      79    CACM-0972   8.323    TFIDF
        1      80    CACM-2438   8.272    TFIDF
        1      81    CACM-2535   8.233    TFIDF
        1      82    CACM-2620   8.178    TFIDF
        1      83    CACM-1170   8.139    TFIDF
        1      84    CACM-1829   8.048    TFIDF
        1      85    CACM-1108   7.991    TFIDF
        1      86    CACM-0971   7.894    TFIDF
        1      87    CACM-1874   7.877    TFIDF
        1      88    CACM-2357   7.870    TFIDF
        1      89    CACM-1280   7.832    TFIDF
        1      90    CACM-2187   7.816    TFIDF
        1      91    CACM-2984   7.809    TFIDF
        1      92    CACM-1440   7.786    TFIDF
        1      93    CACM-2572   7.768    TFIDF
        1      94    CACM-1811   7.751    TFIDF
        1      95    CACM-0616   7.701    TFIDF
        1      96    CACM-2035   7.686    TFIDF
        1      97    CACM-1853   7.628    TFIDF
        1      98    CACM-1173   7.598    TFIDF
        1      99    CACM-0414   7.552    TFIDF
        1     100    CACM-3179   7.496    TFIDF
        2       1    CACM-1519   14.07    TFIDF
        2       2    CACM-2714   12.56    TFIDF
        2       3    CACM-1046   12.35    TFIDF
        2       4    CACM-2194   12.25    TFIDF
        2       5    CACM-1264   10.59    TFIDF
        2       6    CACM-2002   10.55    TFIDF
        2       7    CACM-0397   10.54    TFIDF
        2       8    CACM-0616   10.44    TFIDF
        2       9    CACM-1379   10.43    TFIDF
        2      10    CACM-2434   10.36    TFIDF
        2      11    CACM-2863   10.26    TFIDF
        2      12    CACM-3028   10.22    TFIDF
        2      13    CACM-2905   9.996    TFIDF
        2      14    CACM-2177   9.988    TFIDF
        2      15    CACM-1931   9.719    TFIDF
        2      16    CACM-0531   9.312    TFIDF
        2      17    CACM-2215   8.980    TFIDF
        2      18    CACM-1397   8.130    TFIDF
        2      19    CACM-0282   7.956    TFIDF
        2      20    CACM-1623   7.767    TFIDF
        2      21    CACM-1867   7.767    TFIDF
        2      22    CACM-2572   7.672    TFIDF
        2      23    CACM-1014   7.223    TFIDF
        2      24    CACM-0435   7.133    TFIDF
        2      25    CACM-1705   7.109    TFIDF
        2      26    CACM-1856   7.081    TFIDF
        2      27    CACM-1764   6.903    TFIDF
        2      28    CACM-0670   6.891    TFIDF
        2      29    CACM-0492   6.861    TFIDF
        2      30    CACM-1272   6.809    TFIDF
        2      31    CACM-1676   6.781    TFIDF
        2      32    CACM-2916   6.678    TFIDF
        2      33    CACM-1977   6.623    TFIDF
        2      34    CACM-3202   6.475    TFIDF
        2      35    CACM-2233   6.325    TFIDF
        2      36    CACM-1727   6.315    TFIDF
        2      37    CACM-2786   6.261    TFIDF
        2      38    CACM-2219   6.173    TFIDF
        2      39    CACM-1846   6.170    TFIDF
        2      40    CACM-1315   6.108    TFIDF
        2      41    CACM-2645   6.108    TFIDF
        2      42    CACM-1470   6.084    TFIDF
        2      43    CACM-3129   6.080    TFIDF
        2      44    CACM-2342   6.080    TFIDF
        2      45    CACM-1154   6.080    TFIDF
        2      46    CACM-1877   6.080    TFIDF
        2      47    CACM-1665   6.040    TFIDF
        2      48    CACM-1591   5.927    TFIDF
        2      49    CACM-1625   5.927    TFIDF
        2      50    CACM-1527   5.899    TFIDF
        2      51    CACM-2852   5.899    TFIDF
        2      52    CACM-3138   5.640    TFIDF
        2      53    CACM-3057   5.634    TFIDF
        2      54    CACM-2368   5.536    TFIDF
        2      55    CACM-2771   5.501    TFIDF
        2      56    CACM-1305   5.474    TFIDF
        2      57    CACM-1334   5.461    TFIDF
        2      58    CACM-1259   5.264    TFIDF
        2      59    CACM-1309   5.264    TFIDF
        2      60    CACM-2451   5.260    TFIDF
        2      61    CACM-1488   5.187    TFIDF
        2      62    CACM-1975   5.174    TFIDF
        2      63    CACM-1747   5.174    TFIDF
        2      64    CACM-1652   5.169    TFIDF
        2      65    CACM-1674   5.079    TFIDF
        2      66    CACM-2534   5.079    TFIDF
        2      67    CACM-3144   4.988    TFIDF
        2      68    CACM-2939   4.961    TFIDF
        2      69    CACM-1062   4.905    TFIDF
        2      70    CACM-1012   4.905    TFIDF
        2      71    CACM-2925   4.897    TFIDF
        2      72    CACM-1155   4.897    TFIDF
        2      73    CACM-1651   4.897    TFIDF
        2      74    CACM-1593   4.897    TFIDF
        2      75    CACM-2047   4.897    TFIDF
        2      76    CACM-3165   4.802    TFIDF
        2      77    CACM-2439   4.784    TFIDF
        2      78    CACM-1553   4.716    TFIDF
        2      79    CACM-2899   4.716    TFIDF
        2      80    CACM-1145   4.694    TFIDF
        2      81    CACM-2692   4.681    TFIDF
        2      82    CACM-3110   4.625    TFIDF
        2      83    CACM-2980   4.625    TFIDF
        2      84    CACM-1010   4.625    TFIDF
        2      85    CACM-2849   4.535    TFIDF
        2      86    CACM-1523   4.512    TFIDF
        2      87    CACM-2127   4.444    TFIDF
        2      88    CACM-0619   4.354    TFIDF
        2      89    CACM-2680   4.354    TFIDF
        2      90    CACM-1223   4.349    TFIDF
        2      91    CACM-1464   4.327    TFIDF
        2      92    CACM-1469   4.327    TFIDF
        2      93    CACM-0242   4.263    TFIDF
        2      94    CACM-3171   4.263    TFIDF
        2      95    CACM-2217   4.236    TFIDF
        2      96    CACM-1200   4.172    TFIDF
        2      97    CACM-1486   4.145    TFIDF
        2      98    CACM-3018   4.077    TFIDF
        2      99    CACM-1741   4.055    TFIDF
        2     100    CACM-2354   4.042    TFIDF
        3       1    CACM-2316   15.84    TFIDF
        3       2    CACM-1366   14.63    TFIDF
        3       3    CACM-2061   13.92    TFIDF
        3       4    CACM-1098   12.96    TFIDF
        3       5    CACM-3115   11.68    TFIDF
        3       6    CACM-1134   10.86    TFIDF
        3       7    CACM-2939   9.822    TFIDF
        3       8    CACM-2603   9.635    TFIDF
        3       9    CACM-2705   9.544    TFIDF
