QueryID   Rank    DOCID         Score      System
        1       1    CACM-2319   19.84    Task_2_Psuedo_REL
        1       2    CACM-1519   18.31    Task_2_Psuedo_REL
        1       3    CACM-1410   15.78    Task_2_Psuedo_REL
        1       4    CACM-2740   15.61    Task_2_Psuedo_REL
        1       5    CACM-3127   15.56    Task_2_Psuedo_REL
        1       6    CACM-3025   15.03    Task_2_Psuedo_REL
        1       7    CACM-1680   14.78    Task_2_Psuedo_REL
        1       8    CACM-2379   14.69    Task_2_Psuedo_REL
        1       9    CACM-1591   14.67    Task_2_Psuedo_REL
        1      10    CACM-2380   13.47    Task_2_Psuedo_REL
        1      11    CACM-2357   13.42    Task_2_Psuedo_REL
        1      12    CACM-1462   12.84    Task_2_Psuedo_REL
        1      13    CACM-2632   12.84    Task_2_Psuedo_REL
        1      14    CACM-1464   12.73    Task_2_Psuedo_REL
        1      15    CACM-2372   12.73    Task_2_Psuedo_REL
        1      16    CACM-2629   12.70    Task_2_Psuedo_REL
        1      17    CACM-2424   12.52    Task_2_Psuedo_REL
        1      18    CACM-1605   12.50    Task_2_Psuedo_REL
        1      19    CACM-2358   12.38    Task_2_Psuedo_REL
        1      20    CACM-2317   12.17    Task_2_Psuedo_REL
        1      21    CACM-1750   11.80    Task_2_Psuedo_REL
        1      22    CACM-1506   11.74    Task_2_Psuedo_REL
        1      23    CACM-1523   11.64    Task_2_Psuedo_REL
        1      24    CACM-2219   11.56    Task_2_Psuedo_REL
        1      25    CACM-2951   11.37    Task_2_Psuedo_REL
        1      26    CACM-1264   11.35    Task_2_Psuedo_REL
        1      27    CACM-0585   11.32    Task_2_Psuedo_REL
        1      28    CACM-2920   11.15    Task_2_Psuedo_REL
        1      29    CACM-2950   10.75    Task_2_Psuedo_REL
        1      30    CACM-1805   10.61    Task_2_Psuedo_REL
        1      31    CACM-1747   10.42    Task_2_Psuedo_REL
        1      32    CACM-1315   10.32    Task_2_Psuedo_REL
        1      33    CACM-1161   10.13    Task_2_Psuedo_REL
        1      34    CACM-1749   10.07    Task_2_Psuedo_REL
        1      35    CACM-2054   9.874    Task_2_Psuedo_REL
        1      36    CACM-3048   9.773    Task_2_Psuedo_REL
        1      37    CACM-1827   9.023    Task_2_Psuedo_REL
