QueryID   Rank    DOCID         Score    Rel/Non-Rel   Precision     Recall      System
        1       1    CACM-2319   0.388              0         0.0      0.0    Lucene            
        1       2    CACM-1657   0.337              0         0.0      0.0    Lucene            
        1       3    CACM-1410   0.320              1       0.333      0.2    Lucene            
        1       4    CACM-1938   0.291              0        0.25      0.2    Lucene            
        1       5    CACM-2629   0.289              0         0.2      0.2    Lucene            
        1       6    CACM-2378   0.274              0       0.166      0.2    Lucene            
        1       7    CACM-1827   0.273              0       0.142      0.2    Lucene            
        1       8    CACM-2218   0.271              0       0.125      0.2    Lucene            
        1       9    CACM-2054   0.268              0       0.111      0.2    Lucene            
        1      10    CACM-1698   0.261              0         0.1      0.2    Lucene            
        1      11    CACM-1844   0.254              0       0.090      0.2    Lucene            
        1      12    CACM-2947   0.247              0       0.083      0.2    Lucene            
        1      13    CACM-1605   0.241              1       0.153      0.4    Lucene            
        1      14    CACM-2357   0.239              0       0.142      0.4    Lucene            
        1      15    CACM-1591   0.229              0       0.133      0.4    Lucene            
        1      16    CACM-1161   0.228              0       0.125      0.4    Lucene            
        1      17    CACM-1033   0.225              0       0.117      0.4    Lucene            
        1      18    CACM-2379   0.217              0       0.111      0.4    Lucene            
        1      19    CACM-1749   0.214              0       0.105      0.4    Lucene            
        1      20    CACM-2535   0.213              0         0.1      0.4    Lucene            
        1      21    CACM-1487   0.208              0       0.095      0.4    Lucene            
        1      22    CACM-2371   0.207              0       0.090      0.4    Lucene            
        1      23    CACM-1506   0.202              0       0.086      0.4    Lucene            
        1      24    CACM-2950   0.202              0       0.083      0.4    Lucene            
        1      25    CACM-2541   0.201              0        0.08      0.4    Lucene            
        1      26    CACM-1519   0.197              0       0.076      0.4    Lucene            
        1      27    CACM-2501   0.195              0       0.074      0.4    Lucene            
        1      28    CACM-2151   0.195              0       0.071      0.4    Lucene            
        1      29    CACM-2424   0.194              0       0.068      0.4    Lucene            
        1      30    CACM-1572   0.194              1         0.1      0.6    Lucene            
        1      31    CACM-1071   0.189              0       0.096      0.6    Lucene            
